TokenId,DateTime,Title,ArtistName,PlaylistName,CategoryName,
788,10/13/2017 10:00:58 AM,J&J How To Bathe Your Newborn,BC-JAJ-CH-E-1017,West and North,IAP TV,
788,10/13/2017 9:58:20 AM,Recipe - Apple Ragi Porridge,EC-RARP-CN-E-1017,West and North,IAP TV,
788,10/12/2017 6:38:45 PM,Furball 3 - Immunity - New,EC-F3I-CH-E-1017,West and North,IAP TV,
788,10/12/2017 6:28:18 PM,Recipe - Apple Ragi Porridge,EC-RARP-CN-E-1017,West and North,IAP TV,
788,10/9/2017 9:32:29 AM,Recipe - Apple Ragi Porridge,EC-RARP-CN-E-1017,West and North,IAP TV,
788,10/6/2017 7:01:37 PM,Travelling With Kids,EC-TWK-PT-E-1017,West and North,IAP TV,
788,10/6/2017 6:56:14 PM,Furball 3 - Immunity - New,EC-F3I-CH-E-1017,West and North,IAP TV,
788,10/6/2017 6:49:25 PM,Travelling With Kids,EC-TWK-PT-E-1017,West and North,IAP TV,
788,10/6/2017 6:42:08 PM,Recipe - Apple Ragi Porridge,EC-RARP-CN-E-1017,West and North,IAP TV,
788,10/6/2017 6:38:30 PM,Recipe - Apple Ragi Porridge,EC-RARP-CN-E-1017,West and North,IAP TV,
788,10/5/2017 6:51:30 PM,Recipe - Apple Ragi Porridge,EC-RARP-CN-E-1017,West and North,IAP TV,
788,10/5/2017 6:46:51 PM,J&J How To Bathe Your Newborn,BC-JAJ-CH-E-1017,West and North,IAP TV,
788,10/5/2017 6:43:13 PM,J&J How To Bathe Your Newborn,BC-JAJ-CH-E-1017,West and North,IAP TV,
788,10/5/2017 6:40:35 PM,Recipe - Apple Ragi Porridge,EC-RARP-CN-E-1017,West and North,IAP TV,
788,10/4/2017 6:52:49 PM,Recipe - Apple Ragi Porridge,EC-RARP-CN-E-1017,West and North,IAP TV,
788,10/3/2017 10:03:35 PM,How To Say No,EC-HTSN-PT-H-0617,West & North,IAP TV,
788,10/3/2017 9:56:52 PM,Channel ID,EC-CHID-CP-E-0617,West & North,IAP TV,
788,10/3/2017 9:56:43 PM,WB Copyright,EC-COPY-CP-E-0617,West & North,IAP TV,
788,10/3/2017 9:56:37 PM,Disclaimer,EC-DISC-CP-E-0617,West & North,IAP TV,
788,10/3/2017 9:54:30 PM,Public Service PMSMA - 2,EC-PS2-MH-H-0617,West & North,IAP TV,
788,10/3/2017 9:52:41 PM,Hi Zindagi - SasameSeeds,EC-HZS-CN-E-0617,West & North,IAP TV,
788,10/3/2017 9:51:34 PM,Neonatal Lullaby,EC-NL-CH-E-0617,West & North,IAP TV,
788,10/3/2017 9:50:33 PM,Society Aunty,EC-SA-CN-H-0617,West & North,IAP TV,
788,10/3/2017 9:50:30 PM,Wipe 8,EC-WIPE-CP-E-0617,West & North,IAP TV,
788,10/3/2017 9:41:28 PM,Poshan - Boss,EC-POB-GN-H-0617,West & North,IAP TV,
788,10/3/2017 9:37:19 PM,Hi Zindagi - Raagi,EC-HZR-CN-E-0617,West & North,IAP TV,
