TokenId,DateTime,Title,ArtistName,PlaylistName,CategoryName,
764,10/15/2017 6:18:27 PM,Recipe - Apple Ragi Porridge,EC-RARP-CN-E-1017,West and North,IAP TV,
764,10/15/2017 6:15:41 PM,Recipe - Peach And Apple  Rice,EC-PAR-CN-E-1017,West and North,IAP TV,
764,10/15/2017 6:13:42 PM,Marico Saffola Brand Linked Cheese Balls,BC-SAF-CN-E-1017,West and North,IAP TV,
764,10/15/2017 6:12:44 PM,J&J Guide To Baby Milestones 1 Month,BC-JAJ-CH-E-1017,West and North,IAP TV,
764,10/15/2017 6:05:45 PM,Saath Saath 1 - Going Back To Work,EC-SS1-WE-H-0617,West and North,IAP TV,
764,10/15/2017 6:01:15 PM,Recipe - Moong Sprout Dosa,EC-MSD-CN-E-1017,West and North,IAP TV,
764,10/15/2017 5:59:52 PM,Marico Saffola Branded Mushroom,BL-SAF-CN-E-1017,West and North,IAP TV,
764,10/15/2017 5:56:12 PM,J&J How To Bathe Your Newborn,BC-JAJ-CH-E-1017,West and North,IAP TV,
764,10/15/2017 5:53:34 PM,Recipe - Apple Ragi Porridge,EC-RARP-CN-E-1017,West and North,IAP TV,
764,10/15/2017 4:17:16 PM,Saath Saath 1 - Going Back To Work,EC-SS1-WE-H-0617,West and North,IAP TV,
764,10/15/2017 4:15:31 PM,Furball 3 - Immunity - New,EC-F3I-CH-E-1017,West and North,IAP TV,
764,10/15/2017 4:12:45 PM,Recipe - Moong Sprout Dosa,EC-MSD-CN-E-1017,West and North,IAP TV,
764,10/15/2017 4:11:22 PM,Marico Saffola Branded Mushroom,BL-SAF-CN-E-1017,West and North,IAP TV,
764,10/15/2017 4:08:43 PM,Travelling With Kids,EC-TWK-PT-E-1017,West and North,IAP TV,
764,10/15/2017 4:07:43 PM,J&J How To Bathe Your Newborn,BC-JAJ-CH-E-1017,West and North,IAP TV,
764,10/15/2017 4:05:05 PM,Recipe - Apple Ragi Porridge,EC-RARP-CN-E-1017,West and North,IAP TV,
764,10/15/2017 4:02:19 PM,Recipe - Peach And Apple  Rice,EC-PAR-CN-E-1017,West and North,IAP TV,
764,10/15/2017 4:00:19 PM,Marico Saffola Brand Linked Cheese Balls,BC-SAF-CN-E-1017,West and North,IAP TV,
764,10/15/2017 3:59:22 PM,J&J Guide To Baby Milestones 1 Month,BC-JAJ-CH-E-1017,West and North,IAP TV,
764,10/15/2017 3:52:23 PM,Saath Saath 1 - Going Back To Work,EC-SS1-WE-H-0617,West and North,IAP TV,
764,10/15/2017 3:50:38 PM,Furball 3 - Immunity - New,EC-F3I-CH-E-1017,West and North,IAP TV,
764,10/15/2017 3:47:52 PM,Recipe - Moong Sprout Dosa,EC-MSD-CN-E-1017,West and North,IAP TV,
